Country,Region,LifeExpectancy,WellBeing,Footprint,HappyPlanetIndex,Population,GDP
Mozambique,d,50.2,4.653583238,0.784310381,35.74847046,23390000,942.063592
Myanmar,e,65.2,5.321976944,1.935682715,44.19784297,47963000,1950.22574
Namibia,d,62.5,4.885587122,2.033721701,38.88291223,2283000,6474.567151
Nepal,e,68.8,3.809444659,0.759446374,45.62183248,29959000,1198.863187
Netherlands,b,80.7,7.501875836,6.335531544,43.08831403,16616000,42164.50406
New Zealand,b,80.7,7.223756397,4.313162606,51.55703283,4368000,29534.51533
Nicaragua,a,74,5.686699354,1.559846601,57.06340448,5789000,2913.278816
Niger,d,54.7,4.101016189,2.589298394,26.83326121,15512000,727.9949256
Nigeria,d,51.9,4.760275794,1.440481412,33.62292011,158423000,2399.389429
Norway,b,81.1,7.632287552,4.769394107,51.42858,4889000,57230.89
Pakistan,e,65.4,5.267186141,0.753681571,54.13971149,173593000,2687.638114
Palestine,c,72.8,4.845216382,1.40122,51.19232888,3780000,2613
Panama,a,76.1,7.32146749,2.965542307,57.79858673,2620000,13607.82747
Paraguay,a,72.5,5.841174116,2.994822431,45.82561567,6454000,5181.283653
Peru,a,74,5.612785201,2.029934988,52.36901439,29076000,9537.704508
Philippines,f,68.7,4.941514141,0.982726997,52.35427347,93261000,3969.251025
Poland,g,76.1,5.780330168,3.937681316,42.58004352,38184000,19884.55441
Portugal,b,79.5,4.872720766,4.116788519,38.67756897,10638000,25415.54358
Qatar,c,78.4,6.591603996,11.67622398,25.19245228,1759000,80943.89283
Romania,g,74,4.909165951,2.837321778,42.18244881,21438000,14524.30355
Russia,g,68.8,5.464779107,4.396228614,34.51825071,141750000,19891.35283
Rwanda,d,55.4,4.029761886,0.709080047,36.85399647,10624000,1163.381707
Saudi Arabia,c,73.9,6.726918314,3.988496505,45.96538286,27448000,22713.48529
Senegal,d,59.3,3.834201487,1.531239791,33.31241548,12434000,1934.959229
Serbia,g,74.5,4.461304407,2.567322768,41.27614623,7291000,11348.73203
Sierra Leone,d,47.8,4.133956057,1.1317433,28.80816268,5867000,826.9138929
Singapore,f,81.1,6.531401799,6.100923864,39.78193299,5077000,57932.42717
Slovakia,g,75.4,6.052223142,4.660814217,40.13238289,5430000,23302.83328
Slovenia,g,79.3,6.082555189,5.211423961,40.17439824,2049000,26925.21022
South Africa,d,52.8,4.652428583,2.589260832,28.19011236,49991000,10565.18406
Spain,b,81.4,6.188262653,4.74012615,44.06279336,46071000,32230.3586
Sri Lanka,e,74.9,4.180569262,1.206348983,49.38258812,20860000,5077.970265
Sudan,d,61.5,4.37509714,1.63033454,37.57365379,43552000,2255.751395
Sweden,b,81.4,7.496019064,5.708355966,46.17237255,9378000,39024.17387
Switzerland,b,82.3,7.524520636,5.013066566,50.3386471,7826000,46384.4904
Syria,c,75.9,4.065824276,1.454490753,47.11981876,20447000,5285.024576
Tajikistan,g,67.5,4.38063633,0.900642725,47.78931273,6879000,2162.769068
Tanzania,d,58.2,3.229129025,1.19238277,30.74073484,44841000,1433.990578
Thailand,f,74.1,6.216703138,2.411844749,53.45764203,69122000,8553.805912
Togo,d,57.1,2.807855138,1.031872762,28.23148996,6028000,998.0234978
Trinidad and Tobago,a,70.1,6.696443929,7.559941531,30.26726733,1341000,25738.62683
Tunisia,c,74.5,4.685980744,1.764817913,48.29836556,10549000,9549.838669
Turkey,c,74,5.490347161,2.554784968,47.62354355,72752000,15686.86017
Turkmenistan,g,65,6.567713266,3.983001179,39.07887158,5042000,8273.643714
Uganda,d,54.1,4.192882221,1.565490461,31.5262061,33424000,1272.458112
Ukraine,g,68.5,5.057561323,3.19397593,37.58324978,45871000,6720.972226
United Arab Emirates,c,76.5,7.196803093,8.880908706,31.77827419,7512000,47213.36642
United Kingdom,b,80.2,7.029364308,4.713109588,47.92547572,62232000,35686.19977
United States of America,b,78.5,7.163616195,7.189133029,37.34010608,309349000,47153.00943
Uruguay,a,77,6.062010945,5.07866107,39.32097669,3357000,14108.07465
Uzbekistan,g,68.3,5.095342262,1.819811783,46.00276319,28228000,3106.049132
Venezuela,a,74.4,7.478454372,3.024572094,56.87144157,28834000,12232.80458
Vietnam,f,75.2,5.767344608,1.390974448,60.43899132,86928000,3205.135776
Yemen,c,65.5,3.924141923,0.87118284,42.96675279,24053000,2653.068939
Zambia,d,49,5.260360827,0.840814318,37.73357006,12927000,1561.938335
Zimbabwe,d,51.4,4.845641852,1.170249909,35.31716775,12571000,376
